Job Title,Description,Company,Location,Salary,Job Link
Sr. Cybersecurity Analyst,"Company Description

Referentia Systems Incorporated is a leading provider of mission-assured cybersecurity solutions. Referentia provides high assurance and flexible technologies proven to defend mission-critical computer networks from advanced persistent threats and enable secure interoperability of the power grid. A Hawaii-based small disadvantaged business, Referentia has a proven track record for developing relevant innovation in cyber-network defense, cross-domain solutions, enterprise architectures, and advanced network management and analysis systems. Referentia is an applied R&D company dedicated to providing proven high assurance and flexible solutions to address critical cybersecurity concerns threatening IT modernization. Referentia’s highly adaptive technologies provide real-time network situational awareness, cybersecure interoperability and protection of mission-critical computer networks. Referentia employs nearly 100 employees in Hawaii, California, Virginia, and at military installations throughout the world.

Role Description

This is a full-time hybrid Sr. Cybersecurity Analyst role at Referentia Systems, Inc. located in Hampton, VA, with flexibility for some remote work. The Sr. Cybersecurity Analyst will be responsible for day-to-day tasks related to cybersecurity analysis, threat detection, incident response, and security assessments to safeguard mission-critical computer networks. The role involves collaborating with cross-functional teams, assessing cybersecurity risks, and implementing security measures to protect critical systems.

Qualifications
• Proficiency in cybersecurity tools and technologies
• Strong analytical and problem-solving skills
• Experience with threat detection and incident response
• Knowledge of cybersecurity best practices and frameworks
• Excellent communication and teamwork abilities
• Certifications such as CISSP, CISM, or equivalent
• Bachelor’s degree in Cybersecurity, Information Technology, or related field
• Ability to work in a fast-paced, dynamic environment","Referentia Systems, Inc.","Hampton, VA",Not Provided,https://www.linkedin.com/jobs/view/sr-cybersecurity-analyst-at-referentia-systems-inc-4022486661?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cybersecurity Analyst,"Overview

Full Spectrum Operations LLC (FSO) is a SDVOSB JV between American Communication Solutions LLC, an SBA VetCert verified SDVOSB, and By Light Professional IT Services LLC (By Light). FSO is looking for personnel to support the Regional Network Enterprise Center (RNEC) Joint Base Langley-Eustis (JBLE), Virginia, Local Network Enterprise Center (LNEC) Fort Gregg-Adams, Virginia, and Joint Expeditionary Base Little Creek Fort Story (JEBLCFS), Virginia, with classified and unclassified communication systems support. Personnel will provide Site Management, Infrastructure Operation and Maintenance (O&M) – Unified Communications, Inside Plant (ISP), Customer Service Telephone, Outside Plant (Cable) (OSP), Battery Maintenance, Cable Locates; Systems Management – Mission Server, Automation and Network Support, Cybersecurity, and Tier II Customer Support; Land Mobile Radio; and Configuration Management support. Work is on site and core duty hours are 0700 – 1700, Monday through Friday, excluding Federal holidays. All personnel will work an 8-hour workday.

Responsibilities
• Analyze general information assurance–related technical problems and provide resolutions in solving these problems.
• Support the Government Capability Manager/Information System Owner (ISO) in ensuring that the information systems are configured IAW DISA Security Technical Implementation Guides (STIGs), applicable patches and other cybersecurity requirements.
• Support the Government in following the DoD cybersecurity policy requirements set forth in DoDI 8500.01, “Cybersecurity,” and DoDI 8510.01, “Risk Management Framework (RMF) for DoD Information Technology (IT)” and their successors.
• Provide support for the independent assessment of compliance of information systems with DoD RMF standards using DoDI 8510.01.
• Comply with the practices identified in the Risk Management Framework (RMF) Knowledge Service.
• Review and ensure that any RMF activities on behalf of the RNEC/LNEC adhere to the operational Tactics, Techniques and Procedures (TTPs) and Operations Orders (OPORDs) that are hosted on the U.S. Army Component Workspace – Operations tab of the RMF Knowledge Service.
• Provide technical input on RMF Assess Only submissions.
• Provide input to the Enterprise Mission Assurance Support Service (eMASS) to record RMF activities such as control implementation of all applicable Security Controls as identified via information system security categorization IAW NIST SP 800-53 and CNSSI 1253 (security controls are broken down into individual, measurable, statements called assessment procedures or Control Correlation Indicators (CCIs)) IAW DoDI 8510.01 (Risk Management Framework (RMF) for DoD Information Technology (IT)).
• Perform other duties as required.

Required Experience/Qualifications
• Education: Possess an associate’s degree or higher.
• Foundational Personnel Certification: CompTIA Security+ or Certified Ethical Hacker (CEH) or CyberSec First Responder (CFR) or CompTIA Cloud+ or Global Industrial Cyber Security Professional (GICSP) or Systems Security Certified Practitioner (SSCP) or GIAC Security Essentials Certification (GSEC).
• Foundational Qualification (Experience) – Possess an Intermediate Proficiency level with 70% of the KSA associated with the DCWF workforce role – Systems Administrator – Work Role ID: 451.
• Residential Qualification (Certifications) – Microsoft Security Engineer Associate.
• Residential Qualification (On-the-Job) – RMF, EMASS, and ACAS.
• Minimum of three years’ experience supporting DoD cybersecurity policy requirements and RMF activities.
• Extensive experience with DoD security hardening, collection and assessment tools (STIGs, ACAS, SCAP, Nessus, etc.).
• Experience with security architectures, firewalls and network access.
• Fluent in the spoken and written English language, to include the usage of technical terms commonly used in information technology (IT), network routing and switching, telecommunications, IT maintenance, and technical control facilities.

Preferred Experience/Qualifications
• Supported the U.S. Army or other DoD Agency.
• Has the communication skills to effectively interface with senior military officials, managers, and subordinates.

Special Requirements/Security Clearance
• Security Clearance: Secret",By Light Professional IT Services LLC,"Fort Gregg-Adams, VA",Not Provided,https://jobs-bylight.icims.com/jobs/9634/cybersecurity-analyst/job?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cybersecurity Analyst,"Required:
• Bachelor’s degree and a minimum of 8 years’ of relevant experience. An additional 4 years of experience will be considered in lieu of degree/education.
• Either possess or obtain prior to start date ONE of the following certifications: CASP+ CE, CCNP Security, CEH, CFR, CHFI, CISA, CISSP (or Associate), Cloud+, CND, CySA+, GCED, GCIH, GICSP, SSCP
• Experience developing and executing research plans.
• Experience working with Windows Server on an enterprise level.
• Experience managing Active Directory in a multi-domain environment.
• Experience working with server/application virtualization on an enterprise.
• Demonstrated excellence in business acumen, team orientation and strong customer service skills.
• U.S. citizenship required.
• Active Secret security clearance.
• Ability to obtain a final Top Secret security clearance.

Desired:
• Experience with process automation highly desired.
• Technical writing skills.
• Engineering/maintaining database infrastructure including SQL and Oracle.
• Active Directory Federation Services (ADFS), Azure, Active Directory.
• Developing and managing virtualized IT systems.
• Networking technologies.
• Configuration and/or administrating enterprise mobile device deployments.
• Experience working with Red Hat Enterprise Linux servers on an enterprise level.

Peraton is currently seeking to hire a Cybersecurity Analyst to become part of Peraton’s Department of State (DoS) Diplomatic Security Cyber Mission (DSCM) program providing leading cyber and technology security experience to enable innovative, effective, and secure business processes.

Location: Rosslyn, VA; a Hybrid role.

In this role, you will:
• Support the Security Standards & Baselines (SSB) section within the Technology, Innovation, and Engineering (TIE) Office.
• Identify and provide solutions to enhance and/or streamline processes and automate work flow.
• Need to have a strong technical background and expertise in various areas of cybersecurity.
• Promote awareness of security issues among management and ensure sound security principles are reflected in organizations’ visions and goals.
• Communicate complex security concepts to both technical and non-technical stakeholders, including senior management.
• Possess strong problem-solving and decision-making abilities to guide the organization in making informed security decisions.
• Perform extensive research and documentation of security threat vectors.
• Provide guidance and coaching to team members.
• Create bulletins, alerts, and/or advisories related to published or developmental standards and/or security principal documents.
• Ensure that rigorous application of information security/information assurance policies, principles, and practices are implemented in the delivery of all IT services.
• Evaluate a wide array of existing, new, modified, and/or emerging technologies and develop recommended security configuration baselines documents that implement Departmental policy, technical security solutions, and industry best practices in alignment with Defense Information Systems Agency (DISA) Security Technical Implementation Guide (STIG) as much as possible.
• Respond to various technical and policy questions from a wide range of customers/users with guidance and clarifications.
• Promote awareness of cybersecurity standards and principles among the customer stakeholders, coworkers, and the Department users.
• Collaborate with fellow team members and various internal and external stakeholders to share information and knowledge to establish and maintain a productive line of communication.
• Streamline processes to improve efficiency of Mission goals.
• Manage information and updates in SharePoint repositories.
• Keep awareness of items involving fellow team members to provide back up support and coverage as needed.

#DSCM",Peraton,"None, VA",Not Provided,https://www.careers.peraton.com/jobs/cybersecurity-analyst-rosslyn-virginia-150000-jobs?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Cybersecurity Mission Specialist, Senior","Job Number: R0205394

Cybersecurity Mission Specialist, Senior

The Opportunity:

Cyber threats are everywhere, and the constantly evolving nature of these threats can make understanding them seem overwhelming to government agencies. In all of this “cyber noise,” how can these organizations understand their risks and how to mitigate them? The answer is you—an information security risk specialist who will break down complex threats into manageable plans of action.

As an information security risk specialist on our team, you’ll use your experience to work with the client to discover their cyber risks, understand policies, and develop a mitigation plan. You’ll review technical, environmental, and personnel details from SMEs to assess the entire threat landscape. Then, you’ll guide your client through a plan of action with presentations, white papers, and milestones.

You’ll work with your client to translate security concepts, so they can make the best decisions to secure their mission critical systems. This is your opportunity to act as an information security subject matter expert while broadening your skills in cybersecurity.

Work with us as we protect our nation’s cyber infrastructure.

Join us. The world can’t wait.

You Have:
• 10+ years of experience in Federal government, professional services, or Federal consulting, including briefing clients or team members on technical, policy, and functional issues
• 4+ years of experience with writing or drafting executive or formal senior-level correspondence or material to support decision-making
• 2+ years of experience with supporting DoD-level organizations, including Action Officer duties and staffing processes or tools
• Experience with facilitating meetings, including working groups or conferences, and associated pre and post meeting activities
• Top Secret clearance
• Bachelor's degree

Nice If You Have:
• Experience with analyzing the development of information assurance and cybersecurity practices, policies, and strategies
• Experience with supporting DoD-level organizations
• Knowledge of cybersecurity practices
• Knowledge of NIST 800 series publications
• Knowledge of Joint instructions and manuals
• Ability to multi-task and prioritize responsibilities
• Possession of excellent verbal and written communication skills
• Possession of excellent organizational skills
• CISSP or CISM certification

Clearance:

Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Top Secret clearance is required.

Compensation

At Booz Allen, we celebrate your contributions, provide you with opportunities and choices, and support your total well-being. Our offerings include health, life, disability, financial, and retirement benefits, as well as paid leave, professional development, tuition assistance, work-life programs, and dependent care. Our recognition awards program acknowledges employees for exceptional performance and superior demonstration of our values. Full-time and part-time employees working at least 20 hours a week on a regular basis are eligible to participate in Booz Allen’s benefit programs. Individuals that do not meet the threshold are only eligible for select offerings, not inclusive of health benefits. We encourage you to learn more about our total benefits by visiting the Resource page on our Careers site and reviewing Our Employee Benefits page.

Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $75,600.00 to $172,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees. This posting will close within 90 days from the Posting Date.

Work Model

Our people-first culture prioritizes the benefits of flexibility and collaboration, whether that happens in person or remotely.
• If this position is listed as remote or hybrid, you’ll periodically work from a Booz Allen or client site facility.
• If this position is listed as onsite, you’ll work with colleagues and clients in person, as needed for the specific role.

EEO Commitment

We’re an equal employment opportunity/affirmative action employer that empowers our people to fearlessly drive change – no matter their race, color, ethnicity, religion, sex (including pregnancy, childbirth, lactation, or related medical conditions), national origin, ancestry, age, marital status, sexual orientation, gender identity and expression, disability, veteran status, military or uniformed service member status, genetic information, or any other status protected by applicable federal, state, local, or international law.",Booz Allen Hamilton,"Arlington, VA",Not Provided,https://www.linkedin.com/jobs/view/cybersecurity-mission-specialist-senior-at-booz-allen-hamilton-4022121731?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Senior A&A Cyber Security Manager,"Description

The Digital Modernization Sector at Leidos is seeking a senior level A&A (Assessment and Authorization) engineer to manage/direct the JRSS (Joint Regional Security Stack) A&A program. In this role, you will work closely with other IT professionals to ensure and maintain the accreditation of the JRSS system in in Fort Meade, MD.

Primary Responsibilities:
• Manage JRSS A&A projects, interfacing with the government A&A manager to ensure customer requirements are implemented.
• Advise, conduct and document risk assessments, development of System Security Plans (SSP), Plans of Action and Milestones (POA&M) and security policies and procedures
• Provide guidance in the implementation of security controls, doctrine and policies.
• Mentor junior members of the team

Basic Qualifications:
• Education : BS degree in a related technical field and 12 – 15 years of prior relevant experience. Specific experience, education and training may be considered in lieu of degree.
• Prior experience in leading Cyber Security teams.
• Experience with and knowledge of the JRSS architecture.
• Experience with eMASS.
• Experience with DISA STIGs.
• Familiarity with the following technologies: TCP/IP, DHCP, WAN/LAN interface technologies, DNS, subnetting, windows PowerShell, bash and Active Directory.
• Possess current CISSP certification and Secret Clearance prior to start.

Preferred Qualifications:
• Experience with Nessus
• Experience recommending additional security requirements and safeguards.

GSMO

Original Posting Date:2024-09-10

While subject to change based on business needs, Leidos reasonably anticipates that this job requisition will remain open for at least 3 days with an anticipated close date of no earlier than 3 days after the original posting date as listed above.

Pay Range:Pay Range $122,200.00 - $220,900.00

The Leidos pay range for this job level is a general guideline only and not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law.

#Remote

Skills:
Bash Scripting, CISSP - Certified Information Systems Security Professional, Computer Security, DHCP (Dynamic Host Configuration Protocol), DNS (Domain Name System), Defense Information Systems Agency (DISA), Government, Internet Security, Leadership, Legal, Local Area Network (LAN), Mentoring, Microsoft Active Directory, Nessus, People Management, Risk Analysis, Secret Clearance, Security Monitoring, Subnetting, Systems Analysis, TCP/IP (Transmission Control Protocol/Internet Protocol), Team Lead/Manager, Wide Area Network (WAN), Windows PowerShell

About the Company:
Leidos",Leidos,"Laurel, MD",Not Provided,https://www.monster.com/job-openings/senior-a-a-cyber-security-manager-laurel-md--7b4bdc90-7f70-444e-87ec-ef731bd88dce?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cyber Security Specialist,"Description

Are you ready to join Leidos all-star team? Through training, teamwork, and exposure to challenging technical work, let Leidos show how to accelerate your career path.

Leidos is seeking a IT professional for our Cyber Security Specialist position at Langley AFB Virginia .

The Cyber Security Analyst will ensure implementation of security features for the detection of malicious code, viruses, and adversaries. Produces risk assessment reports and remediation recommendations. The contractor will also ensure the unit’s information systems follow USAF and DoD guidance. The Cyber Security may also support the supplier risk management lifecycle throughout all phases, and insider threat/risk programs.

Roles and Responsibilities
• Works independently to achieve day-to-day objectives with significant impact on operational results or project deliverables.
• Communicates with internal and client project team members. Works to implement solution designs and/or processes.
• Represent the organization on various technical review and inspection teams
• Coordinate with personnel on system security compliance and Information System Authority to Operate.
• Conducts periodic reviews to ensure compliance with established policies and procedures.
• Notify organization when changes occur that might affect IS authorization
• Assessing system security threats/risks.
• Validating system security requirements definitions and analysis.
• Support assessment and authorization process as needed.
• Tracks security incidents and may be required to investigate, document, report, and provide future protective and corrective measures in response to such incidents.
• Assist USAF, DoD, PMOs, and vendors with the development and execution of assessment and authorization (A&A)

Required Education/Experience:
• Bachelor’s degree (computer science, engineering, preferred) and 7+ years of experience or a Masters and 5+ years of experience is required. Additional years of experience and advanced certifications may be considered in lieu of a degree.
• Demonstrated experience in information security.
• Current Top Secret SCI security clearance.
• DoD 8570 IAT Level II Compliant.
• Knowledge of RMF process, eMass, and XACTA workflow tools.
• Experience using relevant AF systems and databases.
• Knowledge of military policies and procedures relating to information technology.
• Experience working with cloud computing and infrastructure (AWS, Azure, etc)
• Maintains currency of required ADLS and/or INSCOM trainings.
• Experience supporting Air Force ISR operations

Preferred Education/Experience:
• AWS Security Engineering Course
• ISC2 Certified Information Systems Security Professional Course
• ISC2 Certified Cloud Security Professional Course
• Certified Information Security Manager
• Experience working with Jira and Confluence
• Experience with Air Force ISR units

Original Posting Date:
2024-08-27

While subject to change based on business needs, Leidos reasonably anticipates that this job requisition will remain open for at least 3 days with an anticipated close date of no earlier than 3 days after the original posting date as listed above.

Pay Range:
Pay Range $81,250.00 - $146,875.00

The Leidos pay range for this job level is a general guideline only and not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law.",Leidos,"Hampton, VA",Not Provided,https://careers.leidos.com/jobs/14848180-cyber-security-specialist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cyber Targeter,"Cyber Targeters leverage advanced tools, datasets, and methods to identify and assess individuals, computer networks, emerging threats, and collection opportunities to advance CIA's cyber mission.",Central Intelligence Agency,"Washington, DC",Not Provided,https://www.usajobs.gov/job/759320000?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Applied Cybersecurity Engineer (Center for Securing the Homeland),"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.

Department Summary:

Our mission-driven team works directly with MITRE’s government and industry homeland security sponsors to improve cybersecurity across government and critical infrastructure. We’re seeking cyber defenders with various backgrounds and skillsets to join our team and apply their engineering expertise to develop innovative solutions for a safer world.

Roles & Responsibilities:

This is a team that works closely with our government and critical infrastructure sponsors and their stakeholders to improve the cybersecurity of mission critical systems. A collaborative approach and interest in building relationships based on an understanding their unique mission, constraints, and opportunities is as important as specific technical skills. You can apply your experience or interest in a variety of available opportunities to create a safer cyber world. We are looking for people with both a breadth of cyber experience and a depth of knowledge in one or more areas that can be applied directly to sponsor problems. This may entail some or all of the following:
• Applies interdisciplinary competencies in secure systems architecture and design, security operations, threat actor behavior, risk assessment, and network security to business and operational challenges, including technical IT and OT systems and military or other government operations.
• Working directly with government and critical infrastructure operators to develop requirements, perform applied research and development activities, develop operational pilots, and assist in transition of new cyber protection technologies to operational use.
• Defining requirements, developing security architectures, and evaluating security solutions for different on premises and cloud deployment models (IaaS, PaaS, SaaS) and/or across different SaaS environments.
• Defining requirements, developing architectures, and evaluating solutions for securing hybrid on-prem/enterprise cloud-based services (e.g., e-mail, DNS, ICAM, etc.).
• Developing and operationalizing cloud-based cyber sensor and cyber analytics architectures to enable more efficient and effective cybersecurity operations, threat-hunting, and cyber forensics.
• Defining requirements, evaluating solutions, and developing mobile and wireless cyber security architectures.
• Applying zero trust principles to develop pilots and proofs-of-concept for access to multi-cloud sponsor environments.
• Building advanced cybersecurity testbed environments for researching, developing, operationalizing, evaluating, and improving advanced analytics capabilities for detecting and responding to modern cyber threats.
• Developing innovative offerings and identifies opportunities for cyber capabilities by applying a mix of strategic and technical knowledge of network environments, information warfare, regulations, and specific domain requirements.
• Conducting cyber mission dependency, criticality, and adversary analyses to inform design of resilient architectures.

Basic Qualifications:
• Typically requires a minimum of 8 years of related experience with a Bachelor’s degree in Cybersecurity, Computer Science, Computer Engineering, Industrial Engineering or a related field; or 6 years and a Master’s degree; or a PhD with 3 years’ experience; or equivalent combination of related education and work experience.
• Experience in one or more areas listed under work responsibilities.
• In particular, experience in these technical areas is highly desired:
• Experience in the integration and cybersecurity of multi-SaaS environments
• Experience applying zero trust principles to develop pilots and proofs-of-concept for access to multi-cloud sponsor environments
• Applicants selected for this position will be subject to a government security investigation and must meet eligibility requirements for access to classified information.
• This position requires a minimum of 50% hybrid on-site

Preferred Qualifications:
• Experience working with federal departments and agencies or their stakeholders (e.g., state/local/tribal/territorial governments) and critical infrastructure organizations (especially electric, gas or water utilities).
• Experience working with electric utilities (especially distributed energy resources or electric vehicle charging infrastructures), gas utilities, manufacturing companies, or water utilities
• Possess strong writing and communication skills.

This requisition requires the candidate to have a minimum of the following clearance(s):
None

This requisition requires the hired candidate to have or obtain, within one year from the date of hire, the following clearance(s):
Fitness - DHS

Work Location Type:
Hybrid

MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of age; ancestry; color; family medical or genetic information; gender identity and expression; marital, military, or veteran status; national and ethnic origin; physical or mental disability; political affiliation; pregnancy; race; religion; sex; sexual orientation; and any other protected characteristics. For further information please visit the Equal Employment Opportunity Commission website EEO is the Law Poster and Pay Transparency.

MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please email recruitinghelp@mitre.org.

Copyright © 2024, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.

Benefits information may be found here",The MITRE Corporation,"McLean, VA",Not Provided,https://careers.mitre.org/us/en/job/R113807/Applied-Cybersecurity-Engineer-Center-for-Securing-the-Homeland?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
SIGINT Cyber Analyst - Level 3,"Job Description

BAE Systems is looking for skilled SIGINT Cyber Analysts to support our government customer. These Analysts will:
• Perform research, analysis, and reporting on technical intelligence.
• Transform technical collection into meaningful narratives.
• Design scripts and analytic models to parse, format, and visualize complex data sets.
• Guide intelligence collectors to critical information.
• Work in teams to analyze technical information and execute complex intelligence operations
• Support Civilian and Military intelligence professionals in application of advanced analytic techniques.
• Support the innovation of solutions to customer's most challenging intelligence problems.
• Explain complex technical concepts to language and cultural experts.
• Provide systematic improvement to customers intelligence collection and analysis processes.
• Maintain a regular and predictable work schedule.
• Establish and maintain effective working relationships within the department, the Strategic Business Units, Strategic Support Units and the Company.
• Interact appropriately with others in order to maintain a positive and productive work environment.
Required Education, Experience, & Skills
• 9+years related experience.
• Bachelor’s Degree. Degree must be from a university, college, or school which is accredited by an agency recognized by the US Secretary of Education, US Department of Education.
• Experience with advanced SIGINT analysis techniques.
• Experience analyzing unprocessed / unreported technical intelligence.
• Experience with latest generation of SIGINT analysis tools.
• Experience with fingerprinting network traffic and assessing user/adversary behavior.
• Working knowledge of the US SIGINT System.
• Working knowledge of computer networking, cybersecurity, or signals analysis.
• Working knowledge of one, or more, consumer, government, or industry communication technologies.
• Network mapping or computer network enumeration experience required.
• Scripting or analytic modeling preferred.
• Experience with CNO, AI/ML, telecommunications engineering, forensic analysis, reverse engineering, or cryptography preferred.
MDOPSPreferred Education, Experience, & Skills
• Master's Degree preferred.

Pay Information
Full-Time Salary Range: $126610 - $215270

Please note: This range is based on our market pay structures. However, individual salaries are determined by a variety of factors including, but not limited to: business considerations, local market conditions, and internal equity, as well as candidate qualifications, such as skills, education, and experience.

Employee Benefits: At BAE Systems, we support our employees in all aspects of their life, including their health and financial well-being. Regular employees scheduled to work 20+ hours per week are offered: health, dental, and vision insurance; health savings accounts; a 401(k) savings plan; disability coverage; and life and accident insurance. We also have an employee assistance program, a legal plan, and other perks including discounts on things like home, auto, and pet insurance. Our leave programs include paid time off, paid holidays, as well as other types of leave, including paid parental, military, bereavement, and any applicable federal and state sick leave. Employees may participate in the company recognition program to receive monetary or non-monetary recognition awards. Other incentives may be available based on position level and/or job specifics.
About BAE Systems Intelligence & Security BAE Systems, Inc. is the U.S. subsidiary of BAE Systems plc, an international defense, aerospace and security company which delivers a full range of products and services for air, land and naval forces, as well as advanced electronics, security, information technology solutions and customer support services. Improving the future and protecting lives is an ambitious mission, but it’s what we do at BAE Systems. Working here means using your passion and ingenuity where it counts – defending national security with breakthrough technology, superior products, and intelligence solutions. As you develop the latest technology and defend national security, you will continually hone your skills on a team—making a big impact on a global scale. At BAE Systems, you’ll find a rewarding career that truly makes a difference.

Intelligence & Security (I&S), based in McLean, Virginia, designs and delivers advanced defense, intelligence, and security solutions that support the important missions of our customers. Our pride and dedication shows in everything we do—from intelligence analysis, cyber operations and IT expertise to systems development, systems integration, and operations and maintenance services. Knowing that our work enables the U.S. military and government to recognize, manage and defeat threats inspires us to push ourselves and our technologies to new levels.

Our Commitment to Diversity, Equity, and Inclusion:
At BAE Systems, we work hard every day to nurture an inclusive culture where employees are valued and feel like they belong. We are conscious of the need for all employees to see themselves reflected at every level of the company and know that in order to unlock the full potential of our workforce, everyone must feel confident being their best, most sincere self and be equipped to thrive. We provide impactful professional development experiences to our employees and invest in social impact partnerships to uplift communities and drive purposeful change. Here you will find significant opportunities to do meaningful work in an environment intentionally designed to be one where you will learn, grow and belong.",BAE Systems,"Fort Meade, MD",Not Provided,https://jobs.baesystems.com/global/en/job/102857BR/SIGINT-Cyber-Analyst-Level-3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cyber Security Analyst,"Description:

This Cyber Threat Analyst position supports the Defense Cyber Crime Center (DC3) and participates as a team member performing threat analyses based on knowledge of cybersecurity and concepts supporting intelligence analysis requirements for all-source cyber analysis and reporting. Contributes to development of analytical threat models and provides functional guidance and direction to threat studies team in overall conduct of project(s). Leverages scanning tools (i.e., VirusTotal) to conduct suspicious file scanning; performing queries, pivoting on indicators, and malware analysis on characteristics (Message-Digest Algorithm 5 (MD5), Secure Hash Algorithm 1 (SHA1), file size, file name, file paths, etc.). Work activities are performed under general guideline and direction. Supports team performing expert-level research and analysis of intelligence and related data support of threat studies. Provides advice, guidance and direction to threat studies team. Prepares, submits and presents reports and issue papers to customer representatives. Requires knowledge of advanced threat analysis technology in such areas as telecommunications, computer science, electronic warfare. Requires a detailed knowledge of Department of Defense and service level (Army, Navy, Air Force) intelligence communities, including collection methods and production resources and responsibilities. Requires skills and abilities in supervising the handling classified information. Requires strong knowledge of technology related to cybersecurity. Provides leadership, guidance, and direction to less-senior analysts. Uses Jira to to track analysis tasks and communicate status. Uses Columbo, the DAD, and Splunk to ingest, manage, and fuse multiple intelligence streams and perform analysis. Uses Goldrush as required in place of Jira. May leverage tools such as Looking Glass, Dark Cubed, etc. to obtain, fuse, and analyze cyber threat intelligence.

Qualifications:
• Experience conducting in-depth research in classified and commercial databases and producing written products showing Advanced Persistent Threat (APT) pattern analysis
• Experience with SIEM technologies
• Knowledge of current and emerging cyber adversaries and their techniques, tactics, and procedures (TTPs)
• Knowledge of threat modeling and adversary tactics and techniques frameworks, including MITRE ATT&CK matrices, Cyber Kill Chain, STRIDE, or PASTA
• Experience with Department of Defense Cyber Operations
• Top Secret/SCI security clearance required
• 5 years with BS/BA, 3 years with MS/MA, 0 years with PhD with years experience in cyber threat intelligence, intelligence analysis or other relevant field; 8 years of experience in lieu of a degree.

Preferred Additional Skills:
• Sec+, CISSP, GCTI or other relevant certification
• Cybersecurity consulting experience a plus

Job Type: Full-time

Pay: $97,200.00 - $119,500.00 per year

Experience:
• Cybersecurity: 4 years (Required)

Security clearance:
• Top Secret (Required)

Work Location: Hybrid remote in Linthicum Heights, MD 21090",GovTact,"Linthicum Heights, MD",Not Provided,"https://www.glassdoor.com/job-listing/cyber-security-analyst-govtact-JV_IC1153599_KO0,22_KE23,30.htm?jl=1009279060239&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
